Country Name,Country Code,precip_mm,agri_land_pct,cereal_yield_kgph,crop_index_2014_2016_100,irrigated_agri_pct,capture_fish_t,aquaculture_t,cereal_production_t,cereal_area_ha,fish_total_t,food_index_2014_2016_100,fertilizer_consump_pct_of_prod
Belgium,BEL,847.0,44.566144159506784,8603.5,95.86,,18710.0,243.0,2779540.0,323070.0,18953.0,100.0,17.891934321776
Belize,BLZ,1705.0,7.97895659798334,4476.2,98.44,,203114.256,730.0,146715.0,32777.0,203844.256,102.28,
Benin,BEN,1039.0,43.06236520042568,1361.5,128.14,,63481.953,3050.0,2297372.9,1687377.0,66531.95300000001,126.25,
Bermuda,BMU,,5.555555555555555,,,,392.0,0.0,,,392.0,,
Bhutan,BTN,2200.0,13.725747246984794,3447.8,68.09,,9.0,95.0,71380.72,20703.0,104.0,77.75,
Bolivia,BOL,1146.0,35.83070146773747,1716.7,111.72,,31667.5,21483.0,2615641.21,1523612.0,53150.5,115.45,21.374342737557733
Bosnia and Herzegovina,BIH,1028.0,21.81640625,6912.7,128.06,,305.0,3959.9,1431169.0,207036.0,4264.9,113.39,265.4565057914715
Botswana,BWA,416.0,45.633723289749966,407.8,138.33,,3694.0,171.0,115448.2,283077.0,3865.0,96.87,
Brazil,BRA,1761.0,28.326732981261383,4907.4,115.91,3.8787610428841504,783105.0,738981.0,135742766.74,27660582.0,1522086.0,113.77,663.0296997000894
British Virgin Islands,VGB,,46.666666666666664,,,,1136.518,1.0,,,1137.518,,
Brunei Darussalam,BRN,2722.0,2.5426944971537004,2400.0,97.29,8.338059701492536,16194.786,5018.305,3600.0,1500.0,21213.091,119.3,
Bulgaria,BGR,608.0,46.26013264554164,5151.2,102.66,0.5471923536439666,5594.378,9005.957,9790690.0,1900660.0,14600.335,100.74,80.27482735019211
Burkina Faso,BFA,748.0,53.349739400584795,1204.1,122.69,,30044.0,894.0,5179059.02,4301063.0,30938.0,118.84,
Burundi,BDI,1274.0,82.80796339563862,1359.9,117.72,,19935.0,540.0,1581834.95,1163170.0,20475.0,119.15,
Cabo Verde,CPV,228.0,19.602977667493796,11.5,66.15,,7758.939,35.0,221.6,19340.0,7793.939,74.78,
Cambodia,KHM,1904.0,34.8115777249037,3654.0,130.37,,527405.003,330600.0,12787000.0,3499434.0,858005.003,123.74,
Cameroon,CMR,1604.0,20.892120539019697,1692.6,108.5,,224638.999,8224.0,3843707.34,2270949.0,232862.999,107.84,
Canada,CAN,537.0,6.494362078578174,4078.7,107.97,,745352.999,167770.0,65040432.0,15946200.0,913122.999,111.63,26.4753457191702
Cayman Islands,CYM,,11.25,,,,125.0,88.0,,,213.0,,
Central Europe and the Baltics,CEB,,45.48594435237445,4524.1033814477405,,,506571.1,142981.8,98296740.0,21727380.0,649552.9,,101.57961968791508
Chad,TCD,322.0,39.9761753494282,845.5,104.38,,107000.0,120.0,2798641.0,3310037.0,107120.0,130.28,
Channel Islands,CHI,,,,,,2290.0,1190.0,,,3480.0,,
Chile,CHL,1522.0,14.31993271045913,6113.9,106.37,8.549162634714296,2691064.159,1524149.0,2588504.75,423377.0,4215213.159,105.36,27.531603758202095
China,CHN,645.0,55.43261175453041,6381.3,111.85,,13182662.554,75434999.0,633134294.88,99216912.0,88617661.554,111.75,88.95960425121908
Colombia,COL,3240.0,37.6412798557909,4397.1,111.63,,578916.5,204941.99,4558570.46,1036711.0,783858.49,110.64,411.6275890637946
Comoros,COM,900.0,71.46695325094036,1755.0,107.76,,18676.631,0.0,19178.59,10928.0,18676.631,106.65,
"Congo, Dem. Rep.",COD,1543.0,15.303625857391765,829.2,123.65,,274385.0,5295.0,4035068.51,4866113.0,279680.0,122.79,
"Congo, Rep.",COG,1646.0,31.189751098096636,877.1,105.92,,64134.185,976.6,30222.69,34458.0,65110.784999999996,106.13,
Costa Rica,CRI,2926.0,33.14399921660792,4061.6,96.09,,33668.683,16772.41,121049.0,29803.0,50441.09299999999,100.36,
Cote d'Ivoire,CIV,1348.0,84.15681257861635,2326.7,133.26,,78618.138,7957.0,3065235.0,1317437.0,86575.138,121.86,
Croatia,HRV,1113.0,25.875625446747673,5823.1,85.16,1.1740331491712708,63675.669,27217.793,3023810.0,519280.0,90893.462,89.5,211.21731978082926
Cuba,CUB,1335.0,61.66666666666667,2088.9,65.76,,14534.5,15542.4,315206.75,150895.0,30076.9,71.39,763.22740203604
Curacao,CUW,,,,,,8851.026,0.0,,,8851.026,,
Cyprus,CYP,498.0,13.316049783549783,2305.7,85.49,20.571715120980684,1325.592,7605.4,57480.0,24930.0,8930.992,108.71,
Czechia,CZE,677.0,45.74762027493747,5929.6,93.98,0.6231547891003429,3381.0,19259.0,8218420.0,1386000.0,22640.0,97.66,290.1852839842769
Denmark,DNK,703.0,65.60000000000001,7241.4,107.01,9.222560975609756,458396.808,37922.2,9464200.0,1306950.0,496319.00800000003,103.83,
Djibouti,DJI,220.0,73.50301984469371,2010.5,139.41,,3070.8,0.0,17.19,9.0,3070.8,133.0,
Dominica,DMA,2083.0,33.33333333333333,1670.8,100.61,,290.0,2.5,192.66,115.0,292.5,100.85,
Dominican Republic,DOM,1410.0,54.69412436444485,4707.8,136.2,11.30437075149598,17985.0,3750.0,1092365.17,232034.0,21735.0,127.89,
Early-demographic dividend,EAR,,39.892602057567984,3741.6683834492305,,,32462115.959999997,36014991.559999995,938156295.49,250730820.0,68318781.57000001,,112.66458251709713
Ecuador,ECU,2274.0,21.53325817361894,4052.0,100.03,23.410620792819746,688924.811,1123048.0,2928381.42,722700.0,1811972.811,98.86,
El Salvador,SLV,1784.0,57.70752895752895,2757.1,105.36,2.0102868612528226,60114.992,12919.0,900080.0,326454.0,73033.992,102.68,
Equatorial Guinea,GNQ,2156.0,3.740463458110517,,104.28,,6610.139,19.0,,,6629.139,103.43,
Eritrea,ERI,384.0,62.651533031518866,639.1,100.58,,1657.752,4.0,305159.83,477471.0,1661.752,106.08,
Estonia,EST,626.0,23.07512286449801,4224.5,118.97,,73938.728,800.819,1528560.0,361830.0,74739.547,105.65,22973.710129555267
Eswatini,SWZ,788.0,69.47674418604652,1597.3,107.49,,65.0,60.0,129168.92,80867.0,125.0,105.96,
Ethiopia,ETH,848.0,34.07795648519963,2822.5,116.51,,101400.0,1070.0,29940144.54,10607482.0,102470.0,116.31,
Faroe Islands,FRO,,70.07299270072993,,99.4,,606542.1,108745.0,,,715287.1,106.62,
Fiji,FJI,2592.0,17.05528188286809,4090.4,125.17,,32626.198,211.0,14699.39,3594.0,32837.198000000004,139.65,
Finland,FIN,536.0,7.4552299622599545,3770.1,98.69,,125969.0,16280.6,3590090.0,952250.0,142249.6,98.15,119.73676354340597
France,FRA,867.0,52.673889229056506,6654.9,94.72,,530976.483,200633.991,59927490.0,9005010.0,731610.474,94.02,7180.740621381126
French Polynesia,PYF,,8.803082685105156,,102.19,,11633.983,1756.989,,,13390.972,102.81,
Gabon,GAB,1831.0,8.35656459812939,1586.8,106.23,,31010.0,87.0,47987.09,30241.0,31097.0,105.76,
"Gambia, The",GMB,836.0,62.64822134387352,805.0,70.82,,53946.5,69.0,107709.19,133802.0,54015.5,71.08,
Georgia,GEO,1026.0,34.30565548999856,2408.5,119.42,,200789.377,2743.2,377758.81,156846.0,203532.57700000002,113.64,29.641522851743353
Germany,DEU,700.0,47.50114495076711,7126.1,91.48,,179732.2,26545.0,43479000.0,6101400.0,206277.2,92.71,39.247653406006805
Ghana,GHA,1187.0,55.393019913594955,2433.8,137.06,,444447.51,92135.0,5136565.41,2110527.0,536582.51,135.5,
Gibraltar,GIB,,,,,,1.0,0.0,,,1.0,,
Greece,GRC,652.0,41.67601706749418,4142.6,94.17,22.25555676386987,65494.798,141997.591,3203370.0,773280.0,207492.389,102.76,73.0352133328093
Greenland,GRL,,0.5923011329029114,,,,399181.0,20.0,,,399201.0,,
Grenada,GRD,2350.0,23.52941176470588,999.1,75.86,,1953.192,26.0,388.4,389.0,1979.192,86.71,
Guam,GUM,,29.629629629629626,,,,36.92,108.0,,,144.92000000000002,,
Guatemala,GTM,1996.0,43.03844718178424,1930.7,100.13,,17654.35,42313.4,2157520.14,1117459.0,59967.75,107.89,
Guinea,GIN,1651.0,71.94891950187204,1369.5,150.02,,377833.0,3950.0,4745053.21,3464843.0,381783.0,144.8,
Guinea-Bissau,GNB,1577.0,29.623911806543386,1558.3,127.5,,63835.0,15.0,301273.0,193338.0,63850.0,122.25,
Guyana,GUY,2387.0,3.410059676044331,5941.9,105.61,,36253.455,953.4,933600.0,157121.0,37206.855,111.69,
Haiti,HTI,1440.0,65.13062409288824,1061.6,72.06,,16710.0,1685.0,340000.0,320260.0,18395.0,77.85,
