Country Name,Country Code,precip_mm,agri_land_pct,cereal_yield_kgph,crop_index_2014_2016_100,irrigated_agri_pct,capture_fish_t,aquaculture_t,cereal_production_t,cereal_area_ha,fish_total_t,food_index_2014_2016_100,fertilizer_consump_pct_of_prod
Ukraine,UKR,565.0,71.29962029685882,4614.1,90.06,0.24206627774684708,23186.41,14630.0,53535589.87,11602583.0,37816.41,87.83,
United Kingdom,GBR,1220.0,71.98164179721408,7720.1,94.33,,621770.674,201355.112,24362311.0,3155713.0,823125.786,101.24,215.65840918181638
United States,USA,715.0,46.08297939746945,8065.5,92.96,,4698894.5,479039.932,408901709.98,50697492.0,5177934.432,100.86,100.79115654112745
Uruguay,URY,1300.0,80.87352873957262,5299.0,79.71,,68781.641,73.6,4597694.14,867659.0,68855.24100000001,97.82,
Uzbekistan,UZB,206.0,58.47925346985831,5007.8,107.7,14.476696806240055,55000.0,130274.0,7516778.12,1501020.0,185274.0,114.43,68.63994769720418
Vanuatu,VUT,2000.0,15.340442986054143,629.3,84.55,,84915.341,4.0,986.0,1567.0,84919.341,82.96,
"Venezuela, RB",VEN,2044.0,24.375035428830564,3526.9,93.94,,211939.571,67531.0,1761232.21,499370.0,279470.571,89.88,67.91786447638603
Viet Nam,VNM,1821.0,39.29119513510237,5903.9,109.55,,3463209.48,5113494.28,47085607.1,7975285.0,8576703.76,113.65,115.87191220940412
Virgin Islands (U.S.),VIR,,9.428571428571429,,,,420.0,8.0,,,428.0,,
West Bank and Gaza,PSE,,64.92946058091287,2528.7,116.75,,4195.0,731.0,48036.29,18996.0,4926.0,111.76,
"Yemen, Rep.",YEM,167.0,44.41919048430782,819.5,118.58,,150470.0,10.0,445000.0,543000.0,150480.0,118.29,
Zambia,ZMB,1020.0,32.067958944833805,2457.4,123.04,,117694.5,75648.0,3056715.38,1243883.0,193342.5,119.91,
Zimbabwe,ZWE,657.0,41.79771074059713,956.9,123.48,,102365.5,8353.01,1461356.18,1527176.0,110718.51,121.68,253.2597137014315
